Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093844,19560101,TMAX,196,"","",G,"",1956
NZ000093844,19560101,TMIN,117,"","",G,"",1956
NZ000093994,19560101,TMAX,226,"","",G,"",1956
NZ000093994,19560101,TMIN,192,"","",G,"",1956
NZ000933090,19560101,TMAX,229,"","",G,"",1956
NZ000933090,19560101,TMIN,141,"","",G,"",1956
NZ000937470,19560101,TMAX,288,"","",G,"",1956
NZ000937470,19560101,TMIN,96,"","",G,"",1956
NZ000939450,19560101,TMAX,169,"","",G,"",1956
NZ000939450,19560101,TMIN,68,"","",G,"",1956
NZ000093844,19560102,TMAX,211,"","",G,"",1956
NZ000093844,19560102,TMIN,121,"","",G,"",1956
NZ000093994,19560102,TMAX,231,"","",G,"",1956
NZ000093994,19560102,TMIN,183,"","",G,"",1956
NZ000933090,19560102,TMAX,241,"","",G,"",1956
NZ000933090,19560102,TMIN,160,"","",G,"",1956
NZ000937470,19560102,TMAX,267,"","",G,"",1956
NZ000937470,19560102,TMIN,138,"","",G,"",1956
NZ000939450,19560102,TMAX,183,"","",G,"",1956
NZ000939450,19560102,TMIN,92,"","",G,"",1956
NZ000093844,19560103,TMAX,224,"","",G,"",1956
NZ000093844,19560103,TMIN,123,"","",G,"",1956
NZ000093994,19560103,TMAX,230,"","",G,"",1956
NZ000093994,19560103,TMIN,182,"","",G,"",1956
NZ000933090,19560103,TMAX,191,"","",G,"",1956
NZ000933090,19560103,TMIN,168,"","",G,"",1956
NZ000937470,19560103,TMAX,304,"","",G,"",1956
NZ000937470,19560103,TMIN,154,"","",G,"",1956
NZ000939450,19560103,TMAX,155,"","",G,"",1956
NZ000939450,19560103,TMIN,94,"","",G,"",1956
NZ000093844,19560104,TMAX,246,"","",G,"",1956
NZ000093844,19560104,TMIN,139,"","",G,"",1956
NZ000093994,19560104,TMAX,229,"","",G,"",1956
NZ000093994,19560104,TMIN,188,"","",G,"",1956
NZ000933090,19560104,TMAX,199,"","",G,"",1956
NZ000933090,19560104,TMIN,166,"","",G,"",1956
NZ000937470,19560104,TMAX,266,"","",G,"",1956
NZ000937470,19560104,TMIN,126,"","",G,"",1956
NZ000939450,19560104,TMAX,167,"","",G,"",1956
NZ000939450,19560104,TMIN,101,"","",G,"",1956
NZ000093844,19560105,TMAX,240,"","",G,"",1956
NZ000093844,19560105,TMIN,112,"","",G,"",1956
NZ000093994,19560105,TMAX,228,"","",G,"",1956
NZ000093994,19560105,TMIN,176,"","",G,"",1956
NZ000933090,19560105,TMAX,212,"","",G,"",1956
NZ000933090,19560105,TMIN,169,"","",G,"",1956
NZ000937470,19560105,TMAX,259,"","",G,"",1956
NZ000937470,19560105,TMIN,116,"","",G,"",1956
NZ000939450,19560105,TMAX,156,"","",G,"",1956
NZ000939450,19560105,TMIN,94,"","",G,"",1956
NZ000093844,19560106,TMAX,182,"","",G,"",1956
NZ000093844,19560106,TMIN,81,"","",G,"",1956
NZ000093994,19560106,TMAX,227,"","",G,"",1956
NZ000093994,19560106,TMIN,174,"","",G,"",1956
NZ000933090,19560106,TMAX,221,"","",G,"",1956
NZ000933090,19560106,TMIN,161,"","",G,"",1956
NZ000937470,19560106,TMAX,213,"","",G,"",1956
NZ000937470,19560106,TMIN,67,"","",G,"",1956
NZ000939450,19560106,TMAX,122,"","",G,"",1956
NZ000939450,19560106,TMIN,30,"","",G,"",1956
NZ000093844,19560107,TMAX,164,"","",G,"",1956
NZ000093844,19560107,TMIN,49,"","",G,"",1956
NZ000093994,19560107,TMAX,234,"","",G,"",1956
NZ000093994,19560107,TMIN,181,"","",G,"",1956
NZ000933090,19560107,TMAX,193,"","",G,"",1956
NZ000933090,19560107,TMIN,145,"","",G,"",1956
NZ000937470,19560107,TMAX,215,"","",G,"",1956
NZ000937470,19560107,TMIN,111,"","",G,"",1956
NZ000939450,19560107,TMAX,111,"","",G,"",1956
NZ000939450,19560107,TMIN,65,"","",G,"",1956
NZ000093844,19560108,TMAX,184,"","",G,"",1956
NZ000093844,19560108,TMIN,42,"","",G,"",1956
NZ000093994,19560108,TMAX,232,"","",G,"",1956
NZ000093994,19560108,TMIN,164,"","",G,"",1956
NZ000933090,19560108,TMAX,198,"","",G,"",1956
NZ000933090,19560108,TMIN,146,"","",G,"",1956
NZ000937470,19560108,TMAX,241,"","",G,"",1956
NZ000937470,19560108,TMIN,67,"","",G,"",1956
NZ000939450,19560108,TMAX,111,"","",G,"",1956
NZ000939450,19560108,TMIN,66,"","",G,"",1956
NZ000093844,19560109,TMAX,219,"","",G,"",1956
NZ000093844,19560109,TMIN,62,"","",G,"",1956
NZ000093994,19560109,TMAX,242,"","",G,"",1956
NZ000093994,19560109,TMIN,162,"","",G,"",1956
NZ000933090,19560109,TMAX,221,"","",G,"",1956
NZ000933090,19560109,TMIN,151,"","",G,"",1956
NZ000937470,19560109,TMAX,256,"","",G,"",1956
NZ000937470,19560109,TMIN,75,"","",G,"",1956
NZ000939450,19560109,TMAX,114,"","",G,"",1956
NZ000939450,19560109,TMIN,89,"","",G,"",1956
NZ000093844,19560110,TMAX,219,"","",G,"",1956
NZ000093844,19560110,TMIN,97,"","",G,"",1956
NZ000093994,19560110,TMAX,233,"","",G,"",1956
NZ000093994,19560110,TMIN,183,"","",G,"",1956
NZ000933090,19560110,TMAX,227,"","",G,"",1956
NZ000933090,19560110,TMIN,152,"","",G,"",1956
NZ000937470,19560110,TMAX,297,"","",G,"",1956
NZ000937470,19560110,TMIN,96,"","",G,"",1956
NZ000939450,19560110,TMAX,143,"","",G,"",1956
NZ000939450,19560110,TMIN,99,"","",G,"",1956
NZ000093844,19560111,TMAX,209,"","",G,"",1956
NZ000093844,19560111,TMIN,94,"","",G,"",1956
NZ000093994,19560111,TMAX,233,"","",G,"",1956
NZ000093994,19560111,TMIN,194,"","",G,"",1956
