Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093292,20120101,TMAX,267,"","",S,"",2012
NZ000093292,20120101,TMIN,161,"","",S,"",2012
NZ000093417,20120101,TMAX,179,"","",S,"",2012
NZ000093417,20120101,TMIN,135,"","",S,"",2012
NZ000093844,20120101,TMAX,170,"","",S,"",2012
NZ000933090,20120101,TMAX,223,"","",S,"",2012
NZ000933090,20120101,TMIN,149,"","",S,"",2012
NZ000936150,20120101,TMAX,222,"","",S,"",2012
NZ000936150,20120101,TMIN,82,"","",S,"",2012
NZM00093110,20120101,TMAX,225,"","",S,"",2012
NZM00093439,20120101,TMAX,165,"","",S,"",2012
NZM00093439,20120101,TMIN,119,"","",S,"",2012
NZM00093678,20120101,TMAX,166,"","",S,"",2012
NZM00093678,20120101,TMIN,112,"","",S,"",2012
NZM00093781,20120101,TMAX,222,"","",S,"",2012
NZM00093781,20120101,TMIN,82,"","",S,"",2012
NZ000093292,20120102,TMAX,205,"","",S,"",2012
NZ000093417,20120102,TMAX,228,"","",S,"",2012
NZ000093417,20120102,TMIN,130,"","",S,"",2012
NZ000093844,20120102,TMAX,149,"","",S,"",2012
NZ000933090,20120102,TMAX,219,"","",S,"",2012
NZ000936150,20120102,TMAX,175,"","",S,"",2012
NZM00093110,20120102,TMAX,197,"","",S,"",2012
NZM00093439,20120102,TMAX,180,"","",S,"",2012
NZM00093678,20120102,TMAX,137,"","",S,"",2012
NZM00093781,20120102,TMAX,175,"","",S,"",2012
NZ000093417,20120103,TMAX,185,"","",S,"",2012
NZ000093417,20120103,TMIN,128,"","",S,"",2012
NZ000093844,20120103,TMAX,173,"","",S,"",2012
NZ000093844,20120103,TMIN,42,"","",S,"",2012
NZ000933090,20120103,TMAX,211,"","",S,"",2012
NZ000933090,20120103,TMIN,133,"","",S,"",2012
NZM00093110,20120103,TMAX,233,"","",S,"",2012
NZM00093110,20120103,TMIN,148,"","",S,"",2012
NZM00093439,20120103,TMIN,121,"","",S,"",2012
NZM00093678,20120103,TMAX,162,"","",S,"",2012
NZM00093678,20120103,TMIN,95,"","",S,"",2012
NZ000093292,20120104,TMAX,257,"","",S,"",2012
NZ000093292,20120104,TMIN,137,"","",S,"",2012
NZ000093417,20120104,TMAX,203,"","",S,"",2012
NZ000093417,20120104,TMIN,127,"","",S,"",2012
NZ000093844,20120104,TMAX,267,"","",S,"",2012
NZ000093844,20120104,TMIN,116,"","",S,"",2012
NZ000933090,20120104,TMAX,201,"","",S,"",2012
NZ000936150,20120104,TMIN,89,"","",S,"",2012
NZM00093110,20120104,TMAX,222,"","",S,"",2012
NZM00093110,20120104,TMIN,162,"","",S,"",2012
NZM00093439,20120104,TMAX,202,"","",S,"",2012
NZM00093439,20120104,TMIN,144,"","",S,"",2012
NZM00093678,20120104,TMIN,111,"","",S,"",2012
NZM00093781,20120104,TMIN,89,"","",S,"",2012
NZ000093292,20120105,TMAX,275,"","",S,"",2012
NZ000093417,20120105,TMIN,161,"","",S,"",2012
NZ000093844,20120105,TMAX,191,"","",S,"",2012
NZ000933090,20120105,TMAX,201,"","",S,"",2012
NZ000933090,20120105,TMIN,154,"","",S,"",2012
NZ000936150,20120105,TMAX,279,"","",S,"",2012
NZM00093110,20120105,TMAX,230,"","",S,"",2012
NZM00093439,20120105,TMAX,204,"","",S,"",2012
NZM00093439,20120105,TMIN,163,"","",S,"",2012
NZM00093678,20120105,TMAX,255,"","",S,"",2012
NZM00093781,20120105,TMAX,279,"","",S,"",2012
NZ000093292,20120106,TMAX,266,"","",S,"",2012
NZ000093292,20120106,TMIN,127,"","",S,"",2012
NZ000093417,20120106,TMAX,205,"","",S,"",2012
NZ000093844,20120106,TMAX,173,"","",S,"",2012
NZ000093844,20120106,TMIN,56,"","",S,"",2012
NZ000933090,20120106,TMAX,210,"","",S,"",2012
NZ000936150,20120106,TMAX,207,"","",S,"",2012
NZ000936150,20120106,TMIN,59,"","",S,"",2012
NZM00093110,20120106,TMAX,247,"","",S,"",2012
NZM00093110,20120106,TMIN,159,"","",S,"",2012
NZM00093439,20120106,TMAX,205,"","",S,"",2012
NZM00093439,20120106,TMIN,159,"","",S,"",2012
NZM00093678,20120106,TMAX,174,"","",S,"",2012
NZM00093678,20120106,TMIN,137,"","",S,"",2012
NZM00093781,20120106,TMAX,207,"","",S,"",2012
NZM00093781,20120106,TMIN,59,"","",S,"",2012
