Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093994,19470101,TMAX,249,"","",G,"",1947
NZ000093994,19470101,TMIN,194,"","",G,"",1947
NZ000933090,19470101,TMAX,184,"","",G,"",1947
NZ000933090,19470101,TMIN,70,"","",G,"",1947
NZ000939450,19470101,TMAX,120,"","",G,"",1947
NZ000939450,19470101,TMIN,57,"","",G,"",1947
NZ000093994,19470102,TMAX,249,"","",G,"",1947
NZ000093994,19470102,TMIN,176,"","",G,"",1947
NZ000933090,19470102,TMAX,182,"","",G,"",1947
NZ000933090,19470102,TMIN,94,"","",G,"",1947
NZ000939450,19470102,TMAX,106,"","",G,"",1947
NZ000939450,19470102,TMIN,51,"","",G,"",1947
NZ000093994,19470103,TMAX,222,"","",G,"",1947
NZ000093994,19470103,TMIN,156,"","",G,"",1947
NZ000933090,19470103,TMAX,168,"","",G,"",1947
NZ000933090,19470103,TMIN,117,"","",G,"",1947
NZ000939450,19470103,TMAX,101,"","",G,"",1947
NZ000939450,19470103,TMIN,66,"","",G,"",1947
NZ000093994,19470104,TMAX,234,"","",G,"",1947
NZ000093994,19470104,TMIN,189,"","",G,"",1947
NZ000933090,19470104,TMAX,178,"","",G,"",1947
NZ000933090,19470104,TMIN,104,"","",G,"",1947
NZ000939450,19470104,TMAX,121,"","",G,"",1947
NZ000939450,19470104,TMIN,45,"","",G,"",1947
NZ000093994,19470105,TMAX,249,"","",G,"",1947
NZ000093994,19470105,TMIN,201,"","",G,"",1947
NZ000933090,19470105,TMAX,183,"","",G,"",1947
NZ000933090,19470105,TMIN,92,"","",G,"",1947
NZ000939450,19470105,TMAX,109,"","",G,"",1947
NZ000939450,19470105,TMIN,65,"","",G,"",1947
NZ000093994,19470106,TMAX,233,"","",G,"",1947
NZ000093994,19470106,TMIN,179,"","",G,"",1947
NZ000933090,19470106,TMAX,161,"","",G,"",1947
NZ000933090,19470106,TMIN,90,"","",G,"",1947
NZ000939450,19470106,TMAX,111,"","",G,"",1947
NZ000939450,19470106,TMIN,39,"","",G,"",1947
NZ000093994,19470107,TMAX,233,"","",G,"",1947
NZ000093994,19470107,TMIN,161,"","",G,"",1947
NZ000933090,19470107,TMAX,167,"","",G,"",1947
NZ000933090,19470107,TMIN,100,"","",G,"",1947
NZ000939450,19470107,TMAX,99,"","",G,"",1947
NZ000939450,19470107,TMIN,35,"","",G,"",1947
NZ000093994,19470108,TMAX,227,"","",G,"",1947
NZ000093994,19470108,TMIN,192,"","",G,"",1947
NZ000933090,19470108,TMAX,167,"","",G,"",1947
NZ000933090,19470108,TMIN,122,"","",G,"",1947
NZ000939450,19470108,TMAX,116,"","",G,"",1947
NZ000939450,19470108,TMIN,-4,"","",G,"",1947
NZ000093994,19470109,TMAX,244,"","",G,"",1947
NZ000093994,19470109,TMIN,217,"","",G,"",1947
NZ000933090,19470109,TMAX,173,"","",G,"",1947
NZ000933090,19470109,TMIN,116,"","",G,"",1947
NZ000939450,19470109,TMAX,121,"","",G,"",1947
NZ000939450,19470109,TMIN,57,"","",G,"",1947
NZ000093994,19470110,TMAX,251,"","",G,"",1947
NZ000093994,19470110,TMIN,212,"","",G,"",1947
NZ000933090,19470110,TMAX,186,"","",G,"",1947
NZ000933090,19470110,TMIN,116,"","",G,"",1947
NZ000939450,19470110,TMAX,116,"","",G,"",1947
NZ000939450,19470110,TMIN,60,"","",G,"",1947
NZ000093994,19470111,TMAX,261,"","",G,"",1947
NZ000093994,19470111,TMIN,222,"","",G,"",1947
NZ000933090,19470111,TMAX,182,"","",G,"",1947
NZ000933090,19470111,TMIN,97,"","",G,"",1947
NZ000939450,19470111,TMAX,97,"","",G,"",1947
NZ000939450,19470111,TMIN,64,"","",G,"",1947
NZ000093994,19470112,TMAX,254,"","",G,"",1947
NZ000093994,19470112,TMIN,226,"","",G,"",1947
NZ000933090,19470112,TMAX,177,"","",G,"",1947
NZ000933090,19470112,TMIN,82,"","",G,"",1947
NZ000939450,19470112,TMAX,116,"","",G,"",1947
NZ000939450,19470112,TMIN,55,"","",G,"",1947
NZ000093994,19470113,TMAX,255,"","",G,"",1947
NZ000093994,19470113,TMIN,232,"","",G,"",1947
NZ000933090,19470113,TMAX,178,"","",G,"",1947
NZ000933090,19470113,TMIN,117,"","",G,"",1947
NZ000939450,19470113,TMAX,127,"","",G,"",1947
NZ000939450,19470113,TMIN,77,"","",G,"",1947
NZ000093994,19470114,TMAX,252,"","",G,"",1947
NZ000093994,19470114,TMIN,228,"","",G,"",1947
NZ000933090,19470114,TMAX,222,"","",G,"",1947
NZ000933090,19470114,TMIN,97,"","",G,"",1947
NZ000939450,19470114,TMAX,117,"","",G,"",1947
NZ000939450,19470114,TMIN,67,"","",G,"",1947
NZ000093994,19470115,TMAX,250,"","",G,"",1947
NZ000093994,19470115,TMIN,197,"","",G,"",1947
NZ000933090,19470115,TMAX,157,"","",G,"",1947
NZ000933090,19470115,TMIN,106,"","",G,"",1947
NZ000939450,19470115,TMAX,102,"","",G,"",1947
NZ000939450,19470115,TMIN,81,"","",G,"",1947
NZ000093994,19470116,TMAX,247,"","",G,"",1947
NZ000093994,19470116,TMIN,195,"","",G,"",1947
NZ000933090,19470116,TMAX,190,"","",G,"",1947
NZ000933090,19470116,TMIN,68,"","",G,"",1947
NZ000939450,19470116,TMAX,95,"","",G,"",1947
NZ000939450,19470116,TMIN,54,"","",G,"",1947
NZ000093994,19470117,TMAX,223,"","",G,"",1947
NZ000093994,19470117,TMIN,182,"","",G,"",1947
NZ000933090,19470117,TMAX,172,"","",G,"",1947
NZ000933090,19470117,TMIN,94,"","",G,"",1947
NZ000939450,19470117,TMAX,105,"","",G,"",1947
NZ000939450,19470117,TMIN,61,"","",G,"",1947
NZ000093994,19470118,TMAX,228,"","",G,"",1947
NZ000093994,19470118,TMIN,168,"","",G,"",1947
NZ000933090,19470118,TMAX,173,"","",G,"",1947
NZ000933090,19470118,TMIN,122,"","",G,"",1947
NZ000939450,19470118,TMAX,115,"","",G,"",1947
NZ000939450,19470118,TMIN,3,"","",G,"",1947
NZ000093994,19470119,TMAX,238,"","",G,"",1947
NZ000093994,19470119,TMIN,194,"","",G,"",1947
NZ000933090,19470119,TMAX,184,"","",G,"",1947
NZ000933090,19470119,TMIN,110,"","",G,"",1947
NZ000939450,19470119,TMAX,108,"","",G,"",1947
NZ000939450,19470119,TMIN,63,"","",G,"",1947
NZ000093994,19470120,TMAX,217,"","",G,"",1947
NZ000093994,19470120,TMIN,197,"","",G,"",1947
NZ000933090,19470120,TMAX,197,"","",G,"",1947
NZ000933090,19470120,TMIN,108,"","",G,"",1947
NZ000939450,19470120,TMAX,116,"","",G,"",1947
NZ000939450,19470120,TMIN,48,"","",G,"",1947
NZ000093994,19470121,TMAX,222,"","",G,"",1947
NZ000093994,19470121,TMIN,197,"","",G,"",1947
NZ000933090,19470121,TMAX,207,"","",G,"",1947
NZ000933090,19470121,TMIN,64,"","",G,"",1947
NZ000939450,19470121,TMAX,97,"","",G,"",1947
NZ000939450,19470121,TMIN,66,"","",G,"",1947
NZ000093994,19470122,TMAX,222,"","",G,"",1947
NZ000093994,19470122,TMIN,178,"","",G,"",1947
NZ000933090,19470122,TMAX,182,"","",G,"",1947
NZ000933090,19470122,TMIN,96,"","",G,"",1947
NZ000939450,19470122,TMAX,121,"","",G,"",1947
NZ000939450,19470122,TMIN,66,"","",G,"",1947
NZ000093994,19470123,TMAX,226,"","",G,"",1947
NZ000093994,19470123,TMIN,167,"","",G,"",1947
NZ000933090,19470123,TMAX,223,"","",G,"",1947
NZ000933090,19470123,TMIN,79,"","",G,"",1947
NZ000939450,19470123,TMAX,122,"","",G,"",1947
NZ000939450,19470123,TMIN,72,"","",G,"",1947
NZ000093994,19470124,TMAX,228,"","",G,"",1947
NZ000093994,19470124,TMIN,184,"","",G,"",1947
NZ000933090,19470124,TMAX,178,"","",G,"",1947
NZ000933090,19470124,TMIN,112,"","",G,"",1947
NZ000939450,19470124,TMAX,110,"","",G,"",1947
NZ000939450,19470124,TMIN,73,"","",G,"",1947
NZ000093994,19470125,TMAX,240,"","",G,"",1947
NZ000093994,19470125,TMIN,205,"","",G,"",1947
NZ000933090,19470125,TMAX,199,"","",G,"",1947
NZ000933090,19470125,TMIN,119,"","",G,"",1947
NZ000939450,19470125,TMAX,126,"","",G,"",1947
NZ000939450,19470125,TMIN,89,"","",G,"",1947
NZ000093994,19470126,TMAX,238,"","",G,"",1947
NZ000093994,19470126,TMIN,197,"","",G,"",1947
NZ000933090,19470126,TMAX,212,"","",G,"",1947
NZ000933090,19470126,TMIN,171,"","",G,"",1947
NZ000939450,19470126,TMAX,103,"","",G,"",1947
NZ000939450,19470126,TMIN,88,"","",G,"",1947
NZ000093994,19470127,TMAX,236,"","",G,"",1947
NZ000093994,19470127,TMIN,200,"","",G,"",1947
NZ000933090,19470127,TMAX,201,"","",G,"",1947
NZ000933090,19470127,TMIN,158,"","",G,"",1947
NZ000939450,19470127,TMAX,122,"","",G,"",1947
NZ000939450,19470127,TMIN,43,"","",G,"",1947
NZ000093994,19470128,TMAX,246,"","",G,"",1947
NZ000093994,19470128,TMIN,199,"","",G,"",1947
NZ000933090,19470128,TMAX,206,"","",G,"",1947
NZ000933090,19470128,TMIN,118,"","",G,"",1947
NZ000939450,19470128,TMAX,113,"","",G,"",1947
NZ000939450,19470128,TMIN,87,"","",G,"",1947
NZ000093994,19470129,TMAX,239,"","",G,"",1947
NZ000093994,19470129,TMIN,198,"","",G,"",1947
NZ000933090,19470129,TMAX,206,"","",G,"",1947
NZ000933090,19470129,TMIN,136,"","",G,"",1947
NZ000939450,19470129,TMAX,124,"","",G,"",1947
NZ000939450,19470129,TMIN,86,"","",G,"",1947
NZ000093994,19470130,TMAX,239,"","",G,"",1947
NZ000093994,19470130,TMIN,201,"","",G,"",1947
NZ000933090,19470130,TMAX,200,"","",G,"",1947
NZ000933090,19470130,TMIN,127,"","",G,"",1947
NZ000939450,19470130,TMAX,140,"","",G,"",1947
NZ000939450,19470130,TMIN,96,"","",G,"",1947
NZ000093994,19470131,TMAX,233,"","",G,"",1947
NZ000093994,19470131,TMIN,197,"","",G,"",1947
NZ000933090,19470131,TMAX,208,"","",G,"",1947
NZ000933090,19470131,TMIN,116,"","",G,"",1947
NZ000939450,19470131,TMAX,161,"","",G,"",1947
NZ000939450,19470131,TMIN,82,"","",G,"",1947
NZ000093994,19470201,TMAX,229,"","",G,"",1947
NZ000093994,19470201,TMIN,186,"","",G,"",1947
NZ000933090,19470201,TMAX,214,"","",G,"",1947
NZ000933090,19470201,TMIN,112,"","",G,"",1947
NZ000939450,19470201,TMAX,137,"","",G,"",1947
NZ000939450,19470201,TMIN,75,"","",G,"",1947
NZ000093994,19470202,TMAX,233,"","",G,"",1947
NZ000093994,19470202,TMIN,201,"","",G,"",1947
NZ000933090,19470202,TMAX,218,"","",G,"",1947
NZ000933090,19470202,TMIN,127,"","",G,"",1947
NZ000939450,19470202,TMAX,137,"","",G,"",1947
NZ000939450,19470202,TMIN,67,"","",G,"",1947
NZ000093994,19470203,TMAX,237,"","",G,"",1947
NZ000093994,19470203,TMIN,194,"","",G,"",1947
NZ000933090,19470203,TMAX,244,"","",G,"",1947
NZ000933090,19470203,TMIN,161,"","",G,"",1947
NZ000939450,19470203,TMAX,117,"","",G,"",1947
NZ000939450,19470203,TMIN,87,"","",G,"",1947
NZ000093994,19470204,TMAX,233,"","",G,"",1947
NZ000093994,19470204,TMIN,196,"","",G,"",1947
NZ000933090,19470204,TMAX,223,"","",G,"",1947
NZ000933090,19470204,TMIN,139,"","",G,"",1947
NZ000939450,19470204,TMAX,128,"","",G,"",1947
