Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093994,19460101,TMAX,236,"","",G,"",1946
NZ000093994,19460101,TMIN,172,"","",G,"",1946
NZ000933090,19460101,TMAX,171,"","",G,"",1946
NZ000933090,19460101,TMIN,107,"","",G,"",1946
NZ000939450,19460101,TMAX,113,"","",G,"",1946
NZ000939450,19460101,TMIN,32,"","",G,"",1946
NZ000093994,19460102,TMAX,240,"","",G,"",1946
NZ000093994,19460102,TMIN,173,"","",G,"",1946
NZ000933090,19460102,TMAX,184,"","",G,"",1946
NZ000933090,19460102,TMIN,124,"","",G,"",1946
NZ000939450,19460102,TMAX,98,"","",G,"",1946
NZ000939450,19460102,TMIN,45,"","",G,"",1946
NZ000093994,19460103,TMAX,246,"","",G,"",1946
NZ000093994,19460103,TMIN,177,"","",G,"",1946
NZ000933090,19460103,TMAX,193,"","",G,"",1946
NZ000933090,19460103,TMIN,83,"","",G,"",1946
NZ000939450,19460103,TMAX,135,"","",G,"",1946
NZ000939450,19460103,TMIN,57,"","",G,"",1946
NZ000093994,19460104,TMAX,248,"","",G,"",1946
NZ000093994,19460104,TMIN,183,"","",G,"",1946
NZ000933090,19460104,TMAX,198,"","",G,"",1946
NZ000933090,19460104,TMIN,98,"","",G,"",1946
NZ000939450,19460104,TMAX,140,"","",G,"",1946
NZ000939450,19460104,TMIN,91,"","",G,"",1946
NZ000093994,19460105,TMAX,241,"","",G,"",1946
NZ000093994,19460105,TMIN,176,"","",G,"",1946
NZ000933090,19460105,TMAX,214,"","",G,"",1946
NZ000933090,19460105,TMIN,87,"","",G,"",1946
NZ000939450,19460105,TMAX,126,"","",G,"",1946
NZ000939450,19460105,TMIN,91,"","",G,"",1946
NZ000093994,19460106,TMAX,217,"","",G,"",1946
NZ000093994,19460106,TMIN,149,"","",G,"",1946
NZ000933090,19460106,TMAX,192,"","",G,"",1946
NZ000933090,19460106,TMIN,114,"","",G,"",1946
NZ000939450,19460106,TMAX,128,"","",G,"",1946
NZ000939450,19460106,TMIN,79,"","",G,"",1946
NZ000093994,19460107,TMAX,227,"","",G,"",1946
NZ000093994,19460107,TMIN,144,"","",G,"",1946
NZ000933090,19460107,TMAX,171,"","",G,"",1946
NZ000933090,19460107,TMIN,128,"","",G,"",1946
NZ000939450,19460107,TMAX,126,"","",G,"",1946
NZ000939450,19460107,TMIN,78,"","",G,"",1946
NZ000093994,19460108,TMAX,239,"","",G,"",1946
NZ000093994,19460108,TMIN,178,"","",G,"",1946
NZ000933090,19460108,TMAX,183,"","",G,"",1946
NZ000933090,19460108,TMIN,107,"","",G,"",1946
NZ000939450,19460108,TMAX,94,"","",G,"",1946
NZ000939450,19460108,TMIN,81,"","",G,"",1946
NZ000093994,19460109,TMAX,239,"","",G,"",1946
NZ000093994,19460109,TMIN,204,"","",G,"",1946
NZ000933090,19460109,TMAX,183,"","",G,"",1946
NZ000933090,19460109,TMIN,78,"","",G,"",1946
NZ000939450,19460109,TMAX,111,"","",G,"",1946
NZ000939450,19460109,TMIN,75,"","",G,"",1946
NZ000093994,19460110,TMAX,238,"","",G,"",1946
NZ000093994,19460110,TMIN,193,"","",G,"",1946
NZ000933090,19460110,TMAX,173,"","",G,"",1946
NZ000933090,19460110,TMIN,132,"","",G,"",1946
NZ000939450,19460110,TMAX,101,"","",G,"",1946
NZ000939450,19460110,TMIN,62,"","",G,"",1946
NZ000093994,19460111,TMAX,219,"","",G,"",1946
NZ000093994,19460111,TMIN,185,"","",G,"",1946
NZ000933090,19460111,TMAX,199,"","",G,"",1946
NZ000933090,19460111,TMIN,107,"","",G,"",1946
NZ000939450,19460111,TMAX,107,"","",G,"",1946
NZ000939450,19460111,TMIN,81,"","",G,"",1946
NZ000093994,19460112,TMAX,228,"","",G,"",1946
NZ000093994,19460112,TMIN,200,"","",G,"",1946
NZ000933090,19460112,TMAX,227,"","",G,"",1946
NZ000933090,19460112,TMIN,117,"","",G,"",1946
NZ000939450,19460112,TMAX,122,"","",G,"",1946
NZ000939450,19460112,TMIN,64,"","",G,"",1946
NZ000093994,19460113,TMAX,238,"","",G,"",1946
NZ000093994,19460113,TMIN,203,"","",G,"",1946
NZ000933090,19460113,TMAX,223,"","",G,"",1946
NZ000933090,19460113,TMIN,129,"","",G,"",1946
NZ000939450,19460113,TMAX,107,"","",G,"",1946
NZ000939450,19460113,TMIN,69,"","",G,"",1946
NZ000093994,19460114,TMAX,233,"","",G,"",1946
NZ000093994,19460114,TMIN,206,"","",G,"",1946
NZ000933090,19460114,TMAX,203,"","",G,"",1946
NZ000933090,19460114,TMIN,76,"","",G,"",1946
NZ000939450,19460114,TMAX,104,"","",G,"",1946
NZ000939450,19460114,TMIN,71,"","",G,"",1946
NZ000093994,19460115,TMAX,248,"","",G,"",1946
NZ000093994,19460115,TMIN,209,"","",G,"",1946
NZ000933090,19460115,TMAX,203,"","",G,"",1946
NZ000933090,19460115,TMIN,155,"","",G,"",1946
NZ000939450,19460115,TMAX,121,"","",G,"",1946
NZ000939450,19460115,TMIN,54,"","",G,"",1946
NZ000093994,19460116,TMAX,243,"","",G,"",1946
NZ000093994,19460116,TMIN,202,"","",G,"",1946
NZ000933090,19460116,TMAX,213,"","",G,"",1946
NZ000933090,19460116,TMIN,134,"","",G,"",1946
NZ000939450,19460116,TMAX,116,"","",G,"",1946
NZ000939450,19460116,TMIN,67,"","",G,"",1946
NZ000093994,19460117,TMAX,237,"","",G,"",1946
