Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093292,20140101,TMAX,258,"","",S,"",2014
NZ000093292,20140101,TMIN,80,"","",S,"",2014
NZ000093417,20140101,TMAX,206,"","",S,"",2014
NZ000093417,20140101,TMIN,137,"","",S,"",2014
NZ000093844,20140101,TMAX,169,"","",S,"",2014
NZ000093844,20140101,TMIN,85,"","",S,"",2014
NZ000093994,20140101,TMIN,207,"","",S,"",2014
NZ000933090,20140101,TMAX,207,"","",S,"",2014
NZ000936150,20140101,TMAX,235,"","",S,"",2014
NZ000936150,20140101,TMIN,66,"","",S,"",2014
NZM00093110,20140101,TMAX,240,"","",S,"",2014
NZM00093110,20140101,TMIN,111,"","",S,"",2014
NZM00093439,20140101,TMAX,200,"","",S,"",2014
NZM00093678,20140101,TMAX,219,"","",S,"",2014
NZM00093678,20140101,TMIN,122,"","",S,"",2014
NZM00093781,20140101,TMAX,235,"","",S,"",2014
NZM00093781,20140101,TMIN,66,"","",S,"",2014
NZ000093292,20140102,TMAX,278,"","",S,"",2014
NZ000093292,20140102,TMIN,129,"","",S,"",2014
NZ000093417,20140102,TMAX,198,"","",S,"",2014
NZ000093417,20140102,TMIN,146,"","",S,"",2014
NZ000093844,20140102,TMAX,195,"","",S,"",2014
NZ000093844,20140102,TMIN,86,"","",S,"",2014
NZ000093994,20140102,TMAX,297,"","",S,"",2014
NZ000093994,20140102,TMIN,220,"","",S,"",2014
NZ000933090,20140102,TMAX,204,"","",S,"",2014
NZ000933090,20140102,TMIN,89,"","",S,"",2014
NZ000936150,20140102,TMAX,236,"","",S,"",2014
NZ000936150,20140102,TMIN,124,"","",S,"",2014
NZM00093110,20140102,TMAX,227,"","",S,"",2014
NZM00093439,20140102,TMAX,198,"","",S,"",2014
NZM00093439,20140102,TMIN,128,"","",S,"",2014
NZM00093678,20140102,TMAX,232,"","",S,"",2014
NZM00093678,20140102,TMIN,135,"","",S,"",2014
NZM00093781,20140102,TMAX,236,"","",S,"",2014
NZM00093781,20140102,TMIN,124,"","",S,"",2014
NZ000093292,20140103,TMAX,268,"","",S,"",2014
NZ000093292,20140103,TMIN,174,"","",S,"",2014
NZ000093417,20140103,TMAX,194,"","",S,"",2014
NZ000093844,20140103,TMAX,169,"","",S,"",2014
NZ000093844,20140103,TMIN,77,"","",S,"",2014
NZ000093994,20140103,TMAX,285,"","",S,"",2014
NZ000933090,20140103,TMAX,205,"","",S,"",2014
NZ000936150,20140103,TMAX,264,"","",S,"",2014
NZM00093110,20140103,TMAX,263,"","",S,"",2014
NZM00093110,20140103,TMIN,148,"","",S,"",2014
NZM00093439,20140103,TMAX,195,"","",S,"",2014
NZM00093678,20140103,TMAX,262,"","",S,"",2014
NZM00093781,20140103,TMAX,264,"","",S,"",2014
NZ000093292,20140104,TMAX,313,"","",S,"",2014
NZ000093292,20140104,TMIN,207,"","",S,"",2014
NZ000093417,20140104,TMAX,203,"","",S,"",2014
NZ000093417,20140104,TMIN,146,"","",S,"",2014
NZ000093844,20140104,TMAX,214,"","",S,"",2014
NZ000093994,20140104,TMAX,283,"","",S,"",2014
NZ000933090,20140104,TMAX,213,"","",S,"",2014
NZ000933090,20140104,TMIN,146,"","",S,"",2014
NZ000936150,20140104,TMIN,105,"","",S,"",2014
NZM00093110,20140104,TMAX,262,"","",S,"",2014
NZM00093110,20140104,TMIN,185,"","",S,"",2014
NZM00093439,20140104,TMAX,196,"","",S,"",2014
NZM00093439,20140104,TMIN,157,"","",S,"",2014
NZM00093678,20140104,TMIN,146,"","",S,"",2014
NZM00093781,20140104,TMIN,105,"","",S,"",2014
NZ000093292,20140105,TMAX,284,"","",S,"",2014
NZ000093417,20140105,TMAX,219,"","",S,"",2014
NZ000093844,20140105,TMAX,182,"","",S,"",2014
NZ000093844,20140105,TMIN,78,"","",S,"",2014
NZ000093994,20140105,TMAX,287,"","",S,"",2014
NZ000093994,20140105,TMIN,226,"","",S,"",2014
NZ000933090,20140105,TMAX,211,"","",S,"",2014
NZ000936150,20140105,TMAX,253,"","",S,"",2014
NZ000936150,20140105,TMIN,116,"","",S,"",2014
NZM00093110,20140105,TMAX,242,"","",S,"",2014
