Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093994,19480101,TMAX,227,"","",G,"",1948
NZ000093994,19480101,TMIN,196,"","",G,"",1948
NZ000933090,19480101,TMAX,213,"","",G,"",1948
NZ000933090,19480101,TMIN,117,"","",G,"",1948
NZ000939450,19480101,TMAX,146,"","",G,"",1948
NZ000939450,19480101,TMIN,95,"","",G,"",1948
NZ000093994,19480102,TMAX,217,"","",G,"",1948
NZ000093994,19480102,TMIN,194,"","",G,"",1948
NZ000933090,19480102,TMAX,229,"","",G,"",1948
NZ000933090,19480102,TMIN,161,"","",G,"",1948
NZ000939450,19480102,TMAX,149,"","",G,"",1948
NZ000939450,19480102,TMIN,119,"","",G,"",1948
NZ000093994,19480103,TMAX,231,"","",G,"",1948
NZ000093994,19480103,TMIN,197,"","",G,"",1948
NZ000933090,19480103,TMAX,238,"","",G,"",1948
NZ000933090,19480103,TMIN,144,"","",G,"",1948
NZ000939450,19480103,TMAX,122,"","",G,"",1948
NZ000939450,19480103,TMIN,86,"","",G,"",1948
NZ000093994,19480104,TMAX,213,"","",G,"",1948
NZ000093994,19480104,TMIN,201,"","",G,"",1948
NZ000933090,19480104,TMAX,252,"","",G,"",1948
NZ000933090,19480104,TMIN,133,"","",G,"",1948
NZ000939450,19480104,TMAX,138,"","",G,"",1948
NZ000939450,19480104,TMIN,51,"","",G,"",1948
NZ000093994,19480105,TMAX,214,"","",G,"",1948
NZ000093994,19480105,TMIN,197,"","",G,"",1948
NZ000933090,19480105,TMAX,243,"","",G,"",1948
NZ000933090,19480105,TMIN,148,"","",G,"",1948
NZ000939450,19480105,TMAX,154,"","",G,"",1948
NZ000939450,19480105,TMIN,98,"","",G,"",1948
NZ000093994,19480106,TMAX,223,"","",G,"",1948
NZ000093994,19480106,TMIN,194,"","",G,"",1948
NZ000933090,19480106,TMAX,229,"","",G,"",1948
NZ000933090,19480106,TMIN,144,"","",G,"",1948
NZ000939450,19480106,TMAX,126,"","",G,"",1948
NZ000939450,19480106,TMIN,66,"","",G,"",1948
NZ000093994,19480107,TMAX,230,"","",G,"",1948
NZ000093994,19480107,TMIN,194,"","",G,"",1948
NZ000933090,19480107,TMAX,241,"","",G,"",1948
NZ000933090,19480107,TMIN,167,"","",G,"",1948
NZ000939450,19480107,TMAX,107,"","",G,"",1948
NZ000939450,19480107,TMIN,66,"","",G,"",1948
NZ000093994,19480108,TMAX,224,"","",G,"",1948
NZ000093994,19480108,TMIN,189,"","",G,"",1948
NZ000933090,19480108,TMAX,232,"","",G,"",1948
NZ000933090,19480108,TMIN,166,"","",G,"",1948
NZ000939450,19480108,TMAX,97,"","",G,"",1948
NZ000939450,19480108,TMIN,77,"","",G,"",1948
NZ000093994,19480109,TMAX,232,"","",G,"",1948
NZ000093994,19480109,TMIN,196,"","",G,"",1948
NZ000933090,19480109,TMAX,199,"","",G,"",1948
NZ000933090,19480109,TMIN,135,"","",G,"",1948
NZ000939450,19480109,TMAX,111,"","",G,"",1948
