Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093292,19700101,TMAX,257,"","",G,"",1970
NZ000093292,19700101,TMIN,140,"","",G,"",1970
NZ000093844,19700101,TMAX,264,"","",G,"",1970
NZ000093844,19700101,TMIN,139,"","",G,"",1970
NZ000093994,19700101,TMAX,227,"","",G,"",1970
NZ000093994,19700101,TMIN,211,"","",G,"",1970
NZ000933090,19700101,TMAX,239,"","",G,"",1970
NZ000933090,19700101,TMIN,137,"","",G,"",1970
NZ000936150,19700101,TMAX,219,"","",G,"",1970
NZ000936150,19700101,TMIN,122,"","",G,"",1970
NZ000937470,19700101,TMAX,267,"","",G,"",1970
NZ000937470,19700101,TMIN,111,"","",G,"",1970
NZ000939450,19700101,TMAX,137,"","",G,"",1970
NZ000939450,19700101,TMIN,82,"","",G,"",1970
NZ000939870,19700101,TMAX,215,"","",G,"",1970
NZ000939870,19700101,TMIN,163,"","",G,"",1970
NZ000093292,19700102,TMAX,259,"","",G,"",1970
NZ000093292,19700102,TMIN,151,"","",G,"",1970
NZ000093844,19700102,TMAX,200,"","",G,"",1970
NZ000093844,19700102,TMIN,133,"","",G,"",1970
NZ000093994,19700102,TMAX,233,"","",G,"",1970
NZ000093994,19700102,TMIN,212,"","",G,"",1970
NZ000933090,19700102,TMAX,238,"","",G,"",1970
NZ000933090,19700102,TMIN,149,"","",G,"",1970
NZ000936150,19700102,TMAX,212,"","",G,"",1970
NZ000936150,19700102,TMIN,161,"","",G,"",1970
NZ000937470,19700102,TMAX,285,"","",G,"",1970
NZ000937470,19700102,TMIN,121,"","",G,"",1970
NZ000939450,19700102,TMAX,121,"","",G,"",1970
NZ000939450,19700102,TMIN,44,"","",G,"",1970
NZ000939870,19700102,TMAX,206,"","",G,"",1970
NZ000939870,19700102,TMIN,159,"","",G,"",1970
NZ000093292,19700103,TMAX,250,"","",G,"",1970
NZ000093292,19700103,TMIN,162,"","",G,"",1970
NZ000093844,19700103,TMAX,176,"","",G,"",1970
NZ000093844,19700103,TMIN,97,"","",G,"",1970
NZ000093994,19700103,TMAX,237,"","",G,"",1970
NZ000093994,19700103,TMIN,201,"","",G,"",1970
NZ000933090,19700103,TMAX,218,"","",G,"",1970
NZ000933090,19700103,TMIN,134,"","",G,"",1970
NZ000936150,19700103,TMAX,209,"","",G,"",1970
NZ000936150,19700103,TMIN,141,"","",G,"",1970
NZ000937470,19700103,TMAX,301,"","",G,"",1970
NZ000937470,19700103,TMIN,128,"","",G,"",1970
NZ000939450,19700103,TMAX,98,"","",G,"",1970
NZ000939450,19700103,TMIN,46,"","",G,"",1970
NZ000939870,19700103,TMAX,199,"","",G,"",1970
NZ000939870,19700103,TMIN,145,"","",G,"",1970
NZ000093292,19700104,TMAX,250,"","",G,"",1970
NZ000093292,19700104,TMIN,161,"","",G,"",1970
NZ000093844,19700104,TMAX,172,"","",G,"",1970
NZ000093844,19700104,TMIN,106,"","",G,"",1970
NZ000093994,19700104,TMAX,236,"","",G,"",1970
NZ000093994,19700104,TMIN,193,"","",G,"",1970
NZ000933090,19700104,TMAX,214,"","",G,"",1970
NZ000933090,19700104,TMIN,176,"","",G,"",1970
NZ000936150,19700104,TMAX,219,"","",G,"",1970
NZ000936150,19700104,TMIN,165,"","",G,"",1970
NZ000937470,19700104,TMAX,266,"","",G,"",1970
NZ000937470,19700104,TMIN,148,"","",G,"",1970
NZ000939450,19700104,TMAX,97,"","",G,"",1970
NZ000939450,19700104,TMIN,62,"","",G,"",1970
NZ000939870,19700104,TMAX,176,"","",G,"",1970
NZ000939870,19700104,TMIN,109,"","",G,"",1970
NZ000093292,19700105,TMAX,289,"","",G,"",1970
NZ000093292,19700105,TMIN,153,"","",G,"",1970
NZ000093844,19700105,TMAX,174,"","",G,"",1970
NZ000093844,19700105,TMIN,117,"","",G,"",1970
NZ000093994,19700105,TMAX,238,"","",G,"",1970
NZ000093994,19700105,TMIN,196,"","",G,"",1970
NZ000933090,19700105,TMAX,239,"","",G,"",1970
NZ000933090,19700105,TMIN,151,"","",G,"",1970
