Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093994,19440101,TMAX,245,"","",G,"",1944
NZ000093994,19440101,TMIN,199,"","",G,"",1944
NZ000933090,19440101,TMAX,212,"","",G,"",1944
NZ000933090,19440101,TMIN,134,"","",G,"",1944
NZ000939450,19440101,TMAX,101,"","",G,"",1944
NZ000939450,19440101,TMIN,37,"","",G,"",1944
NZ000093994,19440102,TMAX,249,"","",G,"",1944
NZ000093994,19440102,TMIN,177,"","",G,"",1944
NZ000933090,19440102,TMAX,222,"","",G,"",1944
NZ000933090,19440102,TMIN,57,"","",G,"",1944
NZ000939450,19440102,TMAX,101,"","",G,"",1944
NZ000939450,19440102,TMIN,44,"","",G,"",1944
NZ000093994,19440103,TMAX,238,"","",G,"",1944
NZ000093994,19440103,TMIN,167,"","",G,"",1944
NZ000933090,19440103,TMAX,216,"","",G,"",1944
NZ000933090,19440103,TMIN,91,"","",G,"",1944
NZ000939450,19440103,TMAX,101,"","",G,"",1944
NZ000939450,19440103,TMIN,70,"","",G,"",1944
NZ000093994,19440104,TMAX,230,"","",G,"",1944
NZ000093994,19440104,TMIN,189,"","",G,"",1944
NZ000933090,19440104,TMAX,212,"","",G,"",1944
NZ000933090,19440104,TMIN,123,"","",G,"",1944
NZ000939450,19440104,TMAX,111,"","",G,"",1944
NZ000939450,19440104,TMIN,44,"","",G,"",1944
NZ000093994,19440105,TMAX,238,"","",G,"",1944
NZ000093994,19440105,TMIN,194,"","",G,"",1944
NZ000933090,19440105,TMAX,228,"","",G,"",1944
NZ000933090,19440105,TMIN,122,"","",G,"",1944
NZ000939450,19440105,TMAX,124,"","",G,"",1944
NZ000939450,19440105,TMIN,43,"","",G,"",1944
NZ000093994,19440106,TMAX,240,"","",G,"",1944
NZ000093994,19440106,TMIN,202,"","",G,"",1944
NZ000933090,19440106,TMAX,238,"","",G,"",1944
NZ000933090,19440106,TMIN,121,"","",G,"",1944
NZ000939450,19440106,TMAX,156,"","",G,"",1944
NZ000939450,19440106,TMIN,96,"","",G,"",1944
NZ000093994,19440107,TMAX,243,"","",G,"",1944
NZ000093994,19440107,TMIN,200,"","",G,"",1944
NZ000933090,19440107,TMAX,231,"","",G,"",1944
NZ000933090,19440107,TMIN,163,"","",G,"",1944
NZ000939450,19440107,TMAX,133,"","",G,"",1944
NZ000939450,19440107,TMIN,68,"","",G,"",1944
NZ000093994,19440108,TMAX,238,"","",G,"",1944
NZ000093994,19440108,TMIN,197,"","",G,"",1944
NZ000933090,19440108,TMAX,229,"","",G,"",1944
NZ000933090,19440108,TMIN,154,"","",G,"",1944
NZ000939450,19440108,TMAX,101,"","",G,"",1944
NZ000939450,19440108,TMIN,44,"","",G,"",1944
NZ000093994,19440109,TMAX,252,"","",G,"",1944
NZ000093994,19440109,TMIN,199,"","",G,"",1944
NZ000933090,19440109,TMAX,221,"","",G,"",1944
NZ000933090,19440109,TMIN,168,"","",G,"",1944
NZ000939450,19440109,TMAX,91,"","",G,"",1944
NZ000939450,19440109,TMIN,59,"","",G,"",1944
NZ000093994,19440110,TMAX,249,"","",G,"",1944
NZ000093994,19440110,TMIN,205,"","",G,"",1944
NZ000933090,19440110,TMAX,214,"","",G,"",1944
NZ000933090,19440110,TMIN,87,"","",G,"",1944
NZ000939450,19440110,TMAX,99,"","",G,"",1944
NZ000939450,19440110,TMIN,30,"","",G,"",1944
NZ000093994,19440111,TMAX,254,"","",G,"",1944
NZ000093994,19440111,TMIN,178,"","",G,"",1944
NZ000933090,19440111,TMAX,211,"","",G,"",1944
NZ000933090,19440111,TMIN,97,"","",G,"",1944
NZ000939450,19440111,TMAX,107,"","",G,"",1944
NZ000939450,19440111,TMIN,67,"","",G,"",1944
NZ000093994,19440112,TMAX,246,"","",G,"",1944
NZ000093994,19440112,TMIN,173,"","",G,"",1944
NZ000933090,19440112,TMAX,213,"","",G,"",1944
NZ000933090,19440112,TMIN,145,"","",G,"",1944
NZ000939450,19440112,TMAX,99,"","",G,"",1944
NZ000939450,19440112,TMIN,78,"","",G,"",1944
NZ000093994,19440113,TMAX,250,"","",G,"",1944
NZ000093994,19440113,TMIN,190,"","",G,"",1944
NZ000933090,19440113,TMAX,233,"","",G,"",1944
NZ000933090,19440113,TMIN,122,"","",G,"",1944
NZ000939450,19440113,TMAX,129,"","",G,"",1944
NZ000939450,19440113,TMIN,67,"","",G,"",1944
NZ000093994,19440114,TMAX,249,"","",G,"",1944
NZ000093994,19440114,TMIN,191,"","",G,"",1944
NZ000933090,19440114,TMAX,213,"","",G,"",1944
NZ000933090,19440114,TMIN,91,"","",G,"",1944
NZ000939450,19440114,TMAX,101,"","",G,"",1944
NZ000939450,19440114,TMIN,69,"","",G,"",1944
NZ000093994,19440115,TMAX,238,"","",G,"",1944
NZ000093994,19440115,TMIN,197,"","",G,"",1944
NZ000933090,19440115,TMAX,227,"","",G,"",1944
NZ000933090,19440115,TMIN,106,"","",G,"",1944
NZ000939450,19440115,TMAX,129,"","",G,"",1944
NZ000939450,19440115,TMIN,89,"","",G,"",1944
NZ000093994,19440116,TMAX,251,"","",G,"",1944
NZ000093994,19440116,TMIN,192,"","",G,"",1944
NZ000933090,19440116,TMAX,222,"","",G,"",1944
NZ000933090,19440116,TMIN,95,"","",G,"",1944
NZ000939450,19440116,TMAX,127,"","",G,"",1944
NZ000939450,19440116,TMIN,94,"","",G,"",1944
NZ000093994,19440117,TMAX,243,"","",G,"",1944
NZ000093994,19440117,TMIN,156,"","",G,"",1944
NZ000933090,19440117,TMAX,218,"","",G,"",1944
NZ000933090,19440117,TMIN,149,"","",G,"",1944
NZ000939450,19440117,TMAX,126,"","",G,"",1944
NZ000939450,19440117,TMIN,90,"","",G,"",1944
NZ000093994,19440118,TMAX,246,"","",G,"",1944
NZ000093994,19440118,TMIN,169,"","",G,"",1944
NZ000933090,19440118,TMAX,232,"","",G,"",1944
NZ000933090,19440118,TMIN,166,"","",G,"",1944
NZ000939450,19440118,TMAX,112,"","",G,"",1944
NZ000939450,19440118,TMIN,70,"","",G,"",1944
NZ000093994,19440119,TMAX,247,"","",G,"",1944
NZ000093994,19440119,TMIN,208,"","",G,"",1944
NZ000933090,19440119,TMAX,225,"","",G,"",1944
NZ000933090,19440119,TMIN,132,"","",G,"",1944
NZ000939450,19440119,TMAX,118,"","",G,"",1944
NZ000939450,19440119,TMIN,78,"","",G,"",1944
NZ000093994,19440120,TMAX,229,"","",G,"",1944
NZ000093994,19440120,TMIN,195,"","",G,"",1944
NZ000933090,19440120,TMAX,193,"","",G,"",1944
NZ000933090,19440120,TMIN,133,"","",G,"",1944
NZ000939450,19440120,TMAX,124,"","",G,"",1944
NZ000939450,19440120,TMIN,34,"","",G,"",1944
NZ000093994,19440121,TMAX,227,"","",G,"",1944
NZ000093994,19440121,TMIN,172,"","",G,"",1944
NZ000933090,19440121,TMAX,182,"","",G,"",1944
NZ000933090,19440121,TMIN,142,"","",G,"",1944
NZ000939450,19440121,TMAX,102,"","",G,"",1944
NZ000939450,19440121,TMIN,54,"","",G,"",1944
NZ000093994,19440122,TMAX,227,"","",G,"",1944
NZ000093994,19440122,TMIN,178,"","",G,"",1944
NZ000933090,19440122,TMAX,234,"","",G,"",1944
NZ000933090,19440122,TMIN,132,"","",G,"",1944
NZ000939450,19440122,TMAX,130,"","",G,"",1944
NZ000939450,19440122,TMIN,44,"","",G,"",1944
NZ000093994,19440123,TMAX,241,"","",G,"",1944
NZ000093994,19440123,TMIN,183,"","",G,"",1944
NZ000933090,19440123,TMAX,197,"","",G,"",1944
NZ000933090,19440123,TMIN,114,"","",G,"",1944
NZ000939450,19440123,TMAX,131,"","",G,"",1944
NZ000939450,19440123,TMIN,99,"","",G,"",1944
NZ000093994,19440124,TMAX,251,"","",G,"",1944
NZ000093994,19440124,TMIN,196,"","",G,"",1944
NZ000933090,19440124,TMAX,214,"","",G,"",1944
NZ000933090,19440124,TMIN,127,"","",G,"",1944
NZ000939450,19440124,TMAX,119,"","",G,"",1944
NZ000939450,19440124,TMIN,59,"","",G,"",1944
NZ000093994,19440125,TMAX,257,"","",G,"",1944
NZ000093994,19440125,TMIN,182,"","",G,"",1944
NZ000933090,19440125,TMAX,216,"","",G,"",1944
NZ000933090,19440125,TMIN,142,"","",G,"",1944
NZ000939450,19440125,TMAX,121,"","",G,"",1944
NZ000939450,19440125,TMIN,77,"","",G,"",1944
NZ000093994,19440126,TMAX,240,"","",G,"",1944
NZ000093994,19440126,TMIN,188,"","",G,"",1944
NZ000933090,19440126,TMAX,222,"","",G,"",1944
NZ000933090,19440126,TMIN,127,"","",G,"",1944
NZ000939450,19440126,TMAX,128,"","",G,"",1944
NZ000939450,19440126,TMIN,97,"","",G,"",1944
NZ000093994,19440127,TMAX,248,"","",G,"",1944
NZ000093994,19440127,TMIN,184,"","",G,"",1944
NZ000933090,19440127,TMAX,218,"","",G,"",1944
NZ000933090,19440127,TMIN,98,"","",G,"",1944
NZ000939450,19440127,TMAX,151,"","",G,"",1944
NZ000939450,19440127,TMIN,81,"","",G,"",1944
NZ000093994,19440128,TMAX,246,"","",G,"",1944
NZ000093994,19440128,TMIN,189,"","",G,"",1944
NZ000933090,19440128,TMAX,220,"","",G,"",1944
NZ000933090,19440128,TMIN,94,"","",G,"",1944
NZ000939450,19440128,TMAX,141,"","",G,"",1944
NZ000939450,19440128,TMIN,76,"","",G,"",1944
NZ000093994,19440129,TMAX,237,"","",G,"",1944
NZ000093994,19440129,TMIN,177,"","",G,"",1944
NZ000933090,19440129,TMAX,218,"","",G,"",1944
NZ000933090,19440129,TMIN,92,"","",G,"",1944
NZ000939450,19440129,TMAX,134,"","",G,"",1944
NZ000939450,19440129,TMIN,90,"","",G,"",1944
NZ000093994,19440130,TMAX,243,"","",G,"",1944
NZ000093994,19440130,TMIN,190,"","",G,"",1944
NZ000933090,19440130,TMAX,216,"","",G,"",1944
NZ000933090,19440130,TMIN,157,"","",G,"",1944
NZ000939450,19440130,TMAX,121,"","",G,"",1944
NZ000939450,19440130,TMIN,59,"","",G,"",1944
NZ000093994,19440131,TMAX,243,"","",G,"",1944
NZ000093994,19440131,TMIN,172,"","",G,"",1944
NZ000933090,19440131,TMIN,81,"","",G,"",1944
NZ000939450,19440131,TMAX,122,"","",G,"",1944
NZ000939450,19440131,TMIN,76,"","",G,"",1944
NZ000093994,19440201,TMAX,243,"","",G,"",1944
NZ000093994,19440201,TMIN,174,"","",G,"",1944
NZ000933090,19440201,TMAX,218,"","",G,"",1944
NZ000933090,19440201,TMIN,138,"","",G,"",1944
NZ000939450,19440201,TMAX,112,"","",G,"",1944
NZ000939450,19440201,TMIN,70,"","",G,"",1944
NZ000093994,19440202,TMAX,252,"","",G,"",1944
NZ000093994,19440202,TMIN,186,"","",G,"",1944
NZ000933090,19440202,TMAX,232,"","",G,"",1944
NZ000933090,19440202,TMIN,169,"","",G,"",1944
NZ000939450,19440202,TMAX,107,"","",G,"",1944
NZ000939450,19440202,TMIN,51,"","",G,"",1944
NZ000093994,19440203,TMAX,251,"","",G,"",1944
NZ000093994,19440203,TMIN,213,"","",G,"",1944
NZ000933090,19440203,TMIN,138,"","",G,"",1944
NZ000939450,19440203,TMAX,123,"","",G,"",1944
NZ000939450,19440203,TMIN,79,"","",G,"",1944
NZ000093994,19440204,TMAX,239,"","",G,"",1944
NZ000093994,19440204,TMIN,216,"","",G,"",1944
NZ000933090,19440204,TMAX,201,"","",G,"",1944
NZ000933090,19440204,TMIN,129,"","",G,"",1944
NZ000939450,19440204,TMAX,110,"","",G,"",1944
NZ000939450,19440204,TMIN,16,"","",G,"",1944
NZ000093994,19440205,TMAX,232,"","",G,"",1944
NZ000093994,19440205,TMIN,187,"","",G,"",1944
NZ000933090,19440205,TMAX,188,"","",G,"",1944
NZ000933090,19440205,TMIN,83,"","",G,"",1944
NZ000939450,19440205,TMAX,112,"","",G,"",1944
NZ000939450,19440205,TMIN,53,"","",G,"",1944
NZ000093994,19440206,TMAX,238,"","",G,"",1944
NZ000093994,19440206,TMIN,189,"","",G,"",1944
NZ000933090,19440206,TMAX,201,"","",G,"",1944
NZ000933090,19440206,TMIN,106,"","",G,"",1944
NZ000939450,19440206,TMAX,109,"","",G,"",1944
NZ000939450,19440206,TMIN,32,"","",G,"",1944
NZ000093994,19440207,TMAX,242,"","",G,"",1944
NZ000093994,19440207,TMIN,186,"","",G,"",1944
NZ000933090,19440207,TMAX,186,"","",G,"",1944
NZ000933090,19440207,TMIN,60,"","",G,"",1944
NZ000939450,19440207,TMAX,93,"","",G,"",1944
NZ000939450,19440207,TMIN,43,"","",G,"",1944
NZ000093994,19440208,TMAX,233,"","",G,"",1944
NZ000093994,19440208,TMIN,161,"","",G,"",1944
NZ000933090,19440208,TMAX,196,"","",G,"",1944
NZ000933090,19440208,TMIN,152,"","",G,"",1944
NZ000939450,19440208,TMAX,110,"","",G,"",1944
NZ000939450,19440208,TMIN,50,"","",G,"",1944
NZ000093994,19440209,TMAX,247,"","",G,"",1944
NZ000093994,19440209,TMIN,167,"","",G,"",1944
NZ000933090,19440209,TMAX,210,"","",G,"",1944
NZ000933090,19440209,TMIN,164,"","",G,"",1944
