Station_ID,DATE,Element,VALUE,Measurement_Flag,Quality_Flag,Source_Flag,Observation_Time,Year
NZ000093292,19660101,TMAX,304,"","",G,"",1966
NZ000093292,19660101,TMIN,189,"","",G,"",1966
NZ000093844,19660101,TMAX,131,"","",G,"",1966
NZ000093844,19660101,TMIN,66,"","",G,"",1966
NZ000093994,19660101,TMAX,267,"","",G,"",1966
NZ000093994,19660101,TMIN,205,"","",G,"",1966
NZ000933090,19660101,TMAX,200,"","",G,"",1966
NZ000933090,19660101,TMIN,166,"","",G,"",1966
NZ000936150,19660101,TMAX,157,"","",G,"",1966
NZ000936150,19660101,TMIN,124,"","",G,"",1966
NZ000937470,19660101,TMAX,189,"","",G,"",1966
NZ000937470,19660101,TMIN,78,"","",G,"",1966
NZ000939450,19660101,TMAX,97,"","",G,"",1966
NZ000939450,19660101,TMIN,47,"","",G,"",1966
NZ000939870,19660101,TMAX,190,"","",G,"",1966
NZ000939870,19660101,TMIN,113,"","",G,"",1966
NZ000093012,19660102,TMAX,233,"","",S,"",1966
NZ000093012,19660102,TMIN,178,"","",S,"",1966
NZ000093292,19660102,TMAX,284,"","",G,"",1966
NZ000093292,19660102,TMIN,178,"","",G,"",1966
NZ000093844,19660102,TMAX,133,"","",G,"",1966
NZ000093844,19660102,TMIN,17,"","",G,"",1966
NZ000093994,19660102,TMAX,246,"","",G,"",1966
NZ000093994,19660102,TMIN,201,"","",G,"",1966
NZ000933090,19660102,TMAX,207,"","",G,"",1966
NZ000933090,19660102,TMIN,113,"","",G,"",1966
NZ000936150,19660102,TMAX,157,"","",G,"",1966
NZ000936150,19660102,TMIN,106,"","",G,"",1966
NZ000937470,19660102,TMAX,141,"","",G,"",1966
NZ000937470,19660102,TMIN,68,"","",G,"",1966
NZ000939450,19660102,TMAX,102,"","",G,"",1966
NZ000939450,19660102,TMIN,44,"","",G,"",1966
NZ000939870,19660102,TMAX,204,"","",G,"",1966
NZ000939870,19660102,TMIN,119,"","",G,"",1966
NZM00093781,19660102,TMAX,222,"","",S,"",1966
NZM00093781,19660102,TMIN,106,"","",S,"",1966
NZ000093012,19660103,TMIN,178,"","",S,"",1966
NZ000093292,19660103,TMAX,253,"","",G,"",1966
NZ000093292,19660103,TMIN,154,"","",G,"",1966
NZ000093844,19660103,TMAX,161,"","",G,"",1966
NZ000093844,19660103,TMIN,58,"","",G,"",1966
NZ000093994,19660103,TMAX,244,"","",G,"",1966
NZ000093994,19660103,TMIN,197,"","",G,"",1966
NZ000933090,19660103,TMAX,197,"","",G,"",1966
NZ000933090,19660103,TMIN,121,"","",G,"",1966
NZ000936150,19660103,TMAX,167,"","",G,"",1966
NZ000936150,19660103,TMIN,72,"","",G,"",1966
NZ000937470,19660103,TMAX,207,"","",G,"",1966
NZ000937470,19660103,TMIN,49,"","",G,"",1966
NZ000939450,19660103,TMAX,96,"","",G,"",1966
NZ000939450,19660103,TMIN,69,"","",G,"",1966
NZ000939870,19660103,TMAX,162,"","",G,"",1966
NZ000939870,19660103,TMIN,105,"","",G,"",1966
NZM00093781,19660103,TMIN,117,"","",S,"",1966
NZ000093012,19660104,TMAX,244,"","",S,"",1966
NZ000093012,19660104,TMIN,183,"","",S,"",1966
NZ000093292,19660104,TMAX,300,"","",G,"",1966
NZ000093292,19660104,TMIN,143,"","",G,"",1966
NZ000093844,19660104,TMAX,175,"","",G,"",1966
NZ000093844,19660104,TMIN,99,"","",G,"",1966
NZ000093994,19660104,TMAX,248,"","",G,"",1966
NZ000093994,19660104,TMIN,209,"","",G,"",1966
NZ000933090,19660104,TMAX,234,"","",G,"",1966
NZ000933090,19660104,TMIN,156,"","",G,"",1966
NZ000936150,19660104,TMAX,178,"","",G,"",1966
NZ000936150,19660104,TMIN,122,"","",G,"",1966
NZ000937470,19660104,TMAX,232,"","",G,"",1966
NZ000937470,19660104,TMIN,103,"","",G,"",1966
NZ000939450,19660104,TMAX,98,"","",G,"",1966
NZ000939450,19660104,TMIN,59,"","",G,"",1966
NZ000939870,19660104,TMAX,166,"","",G,"",1966
NZ000939870,19660104,TMIN,140,"","",G,"",1966
NZM00093781,19660104,TMIN,139,"","",S,"",1966
NZ000093012,19660105,TMAX,233,"","",S,"",1966
NZ000093012,19660105,TMIN,194,"","",S,"",1966
NZ000093292,19660105,TMAX,294,"","",G,"",1966
NZ000093292,19660105,TMIN,156,"","",G,"",1966
NZ000093844,19660105,TMAX,172,"","",G,"",1966
NZ000093844,19660105,TMIN,12,"","",G,"",1966
NZ000093994,19660105,TMAX,243,"","",G,"",1966
NZ000093994,19660105,TMIN,220,"","",G,"",1966
NZ000933090,19660105,TMAX,243,"","",G,"",1966
NZ000933090,19660105,TMIN,176,"","",G,"",1966
NZ000936150,19660105,TMAX,172,"","",G,"",1966
NZ000936150,19660105,TMIN,125,"","",G,"",1966
NZ000937470,19660105,TMAX,220,"","",G,"",1966
NZ000937470,19660105,TMIN,108,"","",G,"",1966
NZ000939450,19660105,TMAX,113,"","",G,"",1966
NZ000939450,19660105,TMIN,58,"","",G,"",1966
NZ000939870,19660105,TMAX,198,"","",G,"",1966
NZ000939870,19660105,TMIN,153,"","",G,"",1966
NZM00093781,19660105,TMAX,211,"","",S,"",1966
NZM00093781,19660105,TMIN,133,"","",S,"",1966
NZ000093012,19660106,TMAX,233,"","",S,"",1966
NZ000093012,19660106,TMIN,172,"","",S,"",1966
NZ000093292,19660106,TMAX,230,"","",G,"",1966
NZ000093292,19660106,TMIN,167,"","",G,"",1966
NZ000093844,19660106,TMAX,163,"","",G,"",1966
